id,host_id,host_is_superhost,neighbourhood_cleansed,longitude,latitude,price,calendar_last_scraped,last_review,calculated_host_listings_count
1406006,2271813,f,Kingston upon Thames,-0.296616723,51.40839427255444,$43.00,02/02/2016,05/11/2019 00:00,1
3766472,4922173,f,Kingston upon Thames,-0.30745346,51.40665327322626,$35.00,02/02/2016,05/11/2019 00:00,1
5498948,7065592,f,Kingston upon Thames,-0.307820705,51.40971243779106,$100.00,02/02/2016,05/11/2019 00:00,1
8384004,4922173,f,Kingston upon Thames,-0.305911028,51.40327018280285,$60.00,02/02/2016,05/11/2019 00:00,1
9071230,35782412,f,Kingston upon Thames,-0.292301399,51.406564057533295,$25.00,02/02/2016,05/11/2019 00:00,1
3697446,18751651,f,Kingston upon Thames,-0.304011074,51.41328449167899,$90.00,02/02/2016,05/11/2019 00:00,1
10796036,7732315,f,Kingston upon Thames,-0.28513274,51.406418889481145,$35.00,02/02/2016,05/11/2019 00:00,2
9922797,38452731,f,Kingston upon Thames,-0.267869618,51.39979830829819,$20.00,02/02/2016,05/11/2019 00:00,1
1262205,3360710,f,Kingston upon Thames,-0.293988915,51.38974432307251,$100.00,02/02/2016,05/11/2019 00:00,1
7177363,17661141,f,Kingston upon Thames,-0.30625604,51.39282720039132,$39.00,02/02/2016,05/11/2019 00:00,1
10379371,17249646,f,Kingston upon Thames,-0.271076725,51.40687262549123,$26.00,02/02/2016,05/11/2019 00:00,2
2580200,13214455,f,Kingston upon Thames,-0.287980457,51.40973499124812,$60.00,02/02/2016,05/11/2019 00:00,1
8084116,42487500,f,Kingston upon Thames,-0.303387204,51.40864499392507,$115.00,02/02/2016,05/11/2019 00:00,1
9525571,49348585,f,Kingston upon Thames,-0.263957977,51.40881815313407,$60.00,02/02/2016,05/11/2019 00:00,1
8305015,43787446,f,Kingston upon Thames,-0.284596299,51.41182245102206,$50.00,02/02/2016,05/11/2019 00:00,1
4019014,20838021,f,Kingston upon Thames,-0.270567861,51.41095323122303,$35.00,02/02/2016,05/11/2019 00:00,1
10375974,26149562,f,Kingston upon Thames,-0.290596804,51.40962405846653,$80.00,02/02/2016,05/11/2019 00:00,1
414862,1961527,t,Kingston upon Thames,-0.291806613,51.38885817418937,$28.00,02/02/2016,05/11/2019 00:00,1
6312587,32839572,f,Kingston upon Thames,-0.307915114,51.4014818,$50.00,02/02/2016,05/11/2019 00:00,1
5460485,28324843,f,Kingston upon Thames,-0.286852156,51.40959218474672,$50.00,02/02/2016,05/11/2019 00:00,1
6443494,30798165,f,Kingston upon Thames,-0.30739825,51.36923225040596,$54.00,02/02/2016,05/11/2019 00:00,1
8081184,27649765,f,Kingston upon Thames,-0.306635529,51.39280806405217,$59.00,02/02/2016,05/11/2019 00:00,1
7491348,39234812,f,Kingston upon Thames,-0.30776783,51.40775503747746,$160.00,02/02/2016,05/11/2019 00:00,1
10898495,33889201,f,Kingston upon Thames,-0.258499932,51.41580687750287,$270.00,02/02/2016,05/11/2019 00:00,10
6900604,34687835,f,Kingston upon Thames,-0.304502831,51.40755341489777,$125.00,02/02/2016,05/11/2019 00:00,2
7031432,36862552,f,Kingston upon Thames,-0.303721243,51.42833469,$47.00,02/02/2016,05/11/2019 00:00,1
6840639,35846457,f,Kingston upon Thames,-0.278263084,51.397995613814864,$149.00,02/02/2016,05/11/2019 00:00,1
1197908,6543906,f,Kingston upon Thames,-0.259044158,51.38904786,$45.00,02/02/2016,05/11/2019 00:00,4
5589592,28980680,f,Kingston upon Thames,-0.257108734,51.40726841688526,$70.00,02/02/2016,05/11/2019 00:00,1
3097560,15360548,f,Kingston upon Thames,-0.261113939,51.42798031786557,$72.00,02/02/2016,05/11/2019 00:00,1
3359489,9402045,f,Kingston upon Thames,-0.257102392,51.40431725888128,$26.00,02/02/2016,05/11/2019 00:00,2
7028582,36456894,t,Kingston upon Thames,-0.296588274,51.41781838365195,$50.00,02/02/2016,05/11/2019 00:00,1
10108732,51876165,f,Kingston upon Thames,-0.299225728,51.418406115486434,$60.00,02/02/2016,05/11/2019 00:00,1
3292514,1888792,f,Kingston upon Thames,-0.306069653,51.39209496383066,$60.00,02/02/2016,05/11/2019 00:00,1
9456214,49002651,f,Kingston upon Thames,-0.290534004,51.40834550988914,$50.00,02/02/2016,05/11/2019 00:00,1
5322833,1033112,f,Kingston upon Thames,-0.293036733,51.39115427,$77.00,02/02/2016,05/11/2019 00:00,1
10673656,52741688,f,Kingston upon Thames,-0.30540387,51.39592110941759,$60.00,02/02/2016,05/11/2019 00:00,1
7877458,20791488,t,Kingston upon Thames,-0.247953122,51.40387204,$65.00,02/02/2016,05/11/2019 00:00,1
5135737,26551969,f,Kingston upon Thames,-0.307569018,51.41508020808006,$155.00,02/02/2016,05/11/2019 00:00,1
2371564,12115243,f,Kingston upon Thames,-0.296506176,51.38686354815897,$55.00,02/02/2016,05/11/2019 00:00,1
7614414,17871483,f,Kingston upon Thames,-0.256029184,51.43461208661598,$55.00,02/02/2016,05/11/2019 00:00,1
1715697,4948856,f,Kingston upon Thames,-0.295912392,51.42693763706175,$75.00,02/02/2016,05/11/2019 00:00,1
9731112,4671802,f,Kingston upon Thames,-0.251480607,51.40242345390592,$96.00,02/02/2016,05/11/2019 00:00,1
7023710,36816573,f,Kingston upon Thames,-0.284194665,51.41499370473708,$59.00,02/02/2016,05/11/2019 00:00,1
5712675,29618501,f,Kingston upon Thames,-0.248786695,51.413064456331696,$22.00,02/02/2016,05/11/2019 00:00,1
10823198,53689953,f,Kingston upon Thames,-0.305050486,51.41281335946135,$80.00,02/02/2016,05/11/2019 00:00,1
10953949,56469941,f,Kingston upon Thames,-0.2428267,51.39192212052839,$15.00,02/02/2016,05/11/2019 00:00,5
4662316,8077866,f,Kingston upon Thames,-0.300807858,51.39447656,$65.00,02/02/2016,05/11/2019 00:00,1
2499857,12794782,f,Kingston upon Thames,-0.30424099,51.41548783981911,$55.00,02/02/2016,05/11/2019 00:00,1
3875430,20023995,f,Kingston upon Thames,-0.304092742,51.39000602788364,$36.00,02/02/2016,05/11/2019 00:00,1
7283027,26831951,f,Kingston upon Thames,-0.269025556,51.40656688159754,$22.00,02/02/2016,05/11/2019 00:00,1
10952994,56469941,f,Kingston upon Thames,-0.244594455,51.39273931092296,$28.00,02/02/2016,05/11/2019 00:00,5
9183177,47251824,f,Kingston upon Thames,-0.289697321,51.41300472152949,$39.00,02/02/2016,05/11/2019 00:00,1
661917,2413601,f,Kingston upon Thames,-0.303649677,51.41742646096668,$43.00,02/02/2016,05/11/2019 00:00,2
3217809,12665529,f,Kingston upon Thames,-0.297529728,51.41953599232382,$25.00,02/02/2016,05/11/2019 00:00,3
1530163,8161941,f,Kingston upon Thames,-0.249172775,51.40411359362472,$36.00,02/02/2016,05/11/2019 00:00,1
6101282,30952945,f,Kingston upon Thames,-0.300868417,51.38599986,$32.00,02/02/2016,05/11/2019 00:00,1
1792110,9402045,f,Kingston upon Thames,-0.265729999,51.40195635681321,$36.00,02/02/2016,05/11/2019 00:00,2
1904917,9888566,t,Kingston upon Thames,-0.287167806,51.41587931437935,$85.00,02/02/2016,05/11/2019 00:00,1
